City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
118,Lorengau,-2.0226,147.2712,83.3,76,90,4.21,PG,light rain
119,Cidreira,-30.1811,-50.2056,69.48,97,100,3.51,BR,overcast clouds
120,Bethel,41.3712,-73.414,54.93,79,0,3.44,US,clear sky
121,Uturoa,-16.7333,-151.4333,82.78,71,69,13.27,PF,broken clouds
122,Nguigmi,14.2495,13.1092,98.96,12,24,15.93,NE,few clouds
123,Broome,42.2506,-75.833,47.53,79,0,0.0,US,clear sky
124,Nova Sintra,14.8667,-24.7167,67.44,77,0,23.38,CV,clear sky
125,Twon-Brass,4.3151,6.2418,82.87,70,85,5.79,NG,overcast clouds
126,Kruisfontein,-34.0033,24.7314,62.89,63,49,9.89,ZA,light rain
127,Port Alfred,-33.5906,26.891,70.18,76,95,4.0,ZA,light rain
128,Kittila,67.6647,24.8936,42.94,36,0,8.05,FI,clear sky
129,Pisco,-13.7,-76.2167,68.05,83,0,4.61,PE,clear sky
130,Whitehorse,60.7161,-135.0538,43.57,48,100,4.61,CA,overcast clouds
131,Hilo,19.7297,-155.09,69.53,89,75,5.75,US,light rain
132,Petropavlovsk-Kamchatsky,53.0452,158.6483,43.39,45,40,8.95,RU,scattered clouds
133,Nalut,30.3333,10.85,91.85,11,77,8.12,LY,broken clouds
134,Troitskoye,52.9821,84.6757,75.7,27,0,10.09,RU,clear sky
135,Fonte Boa,-2.4959,-66.2662,72.63,99,100,1.1,BR,overcast clouds
136,Surovikino,48.6078,42.8486,57.85,47,100,15.7,RU,overcast clouds
137,Oodweyne,9.4092,45.064,86.97,36,94,3.36,SO,overcast clouds
138,Kyshtovka,56.555,76.6271,79.77,15,13,9.71,RU,few clouds
139,Shingu,33.7333,135.9833,68.22,97,100,14.25,JP,light rain
140,Ust'-Kulom,61.6864,53.6902,37.83,82,100,6.17,RU,light rain
141,Coquimbo,-29.9533,-71.3436,49.73,93,0,6.91,CL,clear sky
142,Constantia,44.1833,28.65,66.88,67,54,10.89,RO,broken clouds
143,Lerwick,60.1545,-1.1494,46.4,94,100,24.0,GB,overcast clouds
144,Bredasdorp,-34.5322,20.0403,63.73,63,100,7.54,ZA,overcast clouds
145,Berezovo,63.9381,65.0419,40.23,75,100,10.69,RU,overcast clouds
146,Kapa'A,22.0752,-159.319,75.52,75,40,16.11,US,light rain
147,San Ignacio,17.1561,-89.0714,73.54,88,0,0.0,BZ,clear sky
148,Ghadamis,30.1337,9.5007,96.76,9,89,14.12,LY,overcast clouds
149,Kongsberg,59.6652,9.6465,56.41,37,51,1.01,NO,broken clouds
